General Statistics: 
>R002592        517
>R002593        468
>R002594        466
>R002595        491
>R002596        529
>R002597        446
>R002598        562
>R002599        473
>R002600        544
>R002601        500
>R002602        549
>R002603        436
>R002604        363
>R002605        522
>R002606        289
>R002607        452
>R002608        454
>R002609        474
>R002610        490
>R002611        451
>R002612        487
>R002613        379
>R002614        89
>R002615        480
>R002616        317
>R002617        486
>R002618        366
>R002619        426
>R002620        426
>R002621        494
>R002622        462
>R002623        469
>R002624        462
>R002625        497
>R002626        491
>R002627        418
>R002628        471
>R002629        496
>R002630        478
>R002631        482
>R002632        470
>R002633        432
>R002634        500
>R002635        554
>R002636        591
>R002637        421
>R002638        388
>R002639        395
>R002640        521
>R002641        377
>R002642        454
>R002643        435
>R002644        501
>R002645        481
>R002646        495
>R002647        461
>R002648        517
>R002649        489
>R002650        464
>R002651        481
>R002652        457
>R002653        451
>R002654        405
>R002655        447
>R002656        450
>R002657        489
>R002658        546
>R002659        519
>R002660        438
>R002661        565
>R002662        536
>R002663        417
>R002664        445
>R002665        499
>R002666        535
>R002667        470
>R002668        488
>R002669        534
>R002670        360
>R002671        580
>R002672        436
>R002673        383
>R002674        373
>R002675        531
>R002676        443
>R002677        584
>R002678        377
>R002679        522
>R002680        326
>R002681        435
>R002682        438
>R002683        550
>R002684        486
>R002685        440
>R002686        402
>R002687        382
>R002688        439
>R002689        381
>R002690        464
>R002691        413
>R002692        510
>R002693        476
>R002694        485
>R002695        565
>R002696        446
>R002697        310
>R002698        316
>R002699        576
>R002700        461
>R002701        421
>R002702        401
>R002703        460
>R002704        312
>R002705        385
>R002706        429
>R002707        462
>R002708        409
>R002709        277
>R002710        452
>R002711        474
>R002712        472
>R002713        420
>R002714        414
>R002715        504
>R002716        517
>R002717        339
>R002718        480
>R002719        425
>R002720        491
>R002721        320
>R002722        482
>R002723        462
>R002724        471
>R002725        383
>R002726        489
>R002727        454
>R002728        471
>R002729        443
>R002730        498
>R002731        469
>R002732        280
>R002733        428
>R002734        475
>R002735        462
>R002736        454
>R002737        466
>R002738        470
>R002739        483
>R002740        539
>R002741        503
>R002742        486
>R002743        507
>R002744        446
>R002745        325
>R002746        446
>R002747        488
>R002748        469
>R002749        361
>R002750        500
>R002751        497
>R002752        566
>R002753        466
>R002754        428
>R002755        532
>R002756        499
>R002757        449
>R002758        473
>R002759        470
>R002760        448
>R002761        512
>R002762        435
>R002763        417
>R002764        484
>R002765        439
>R002766        525
>R002767        538
>R002768        547
>R002769        463
>R002770        318
>R002771        565
>R002772        458
>R002773        437
>R002774        402
>R002775        428
>R002776        446
>R002777        423
>R002778        344
>R002779        409
>R002780        481
>R002781        517
>R002782        482
>R002783        354
>R002784        570
>R002785        478
>R002786        495
>R002787        487
>R002788        506
>R002789        457
>R002790        460
>R002791        444
>R002792        423
>R002793        440
>R002794        534
>R002795        430
>R002796        502
>R002797        459
>R002798        432
>R002799        418
>R002800        517
>R002801        440
>R002802        453
>R002803        458
>R002804        443
>R002805        414
>R002806        453
>R002807        436
>R002808        497
>R002809        426
>R002810        488
>R002811        527
>R002812        439
>R002813        535
>R002814        444
>R002815        479
>R002816        455
>R002817        420
>R002818        341
>R002819        485
>R002820        448
>R002821        544
>R002822        472
>R002823        497
>R002824        462
>R002825        488
>R002826        395
>R002827        434
>R002828        428
>R002829        523
>R002830        472
>R002831        465
>R002832        447
>R002833        558
>R002834        449
>R002835        612
>R002836        435
>R002837        506
>R002838        666
>R002839        363
>R002840        531
>R002841        304
>R002842        419
>R002843        316
>R002844        507
>R002845        462
>R002846        461
>R002847        581
>R002848        450
>R002849        447
>R002850        453
>R002851        401
>R002852        559
>R002853        516
>R002854        427
>R002856        477
>R002857        478
>R002858        542
>R002859        422
>R002860        478
>R002861        449
>R002862        477
>R002863        499
>R002864        488
>R002865        433
>R002866        462
>R002867        497
>R002868        476
>R002869        413
>R002870        534
>R002871        477
>R002872        438
>R002873        377
>R002874        373
>R002875        434
>R002876        486
>R002877        375
>R002878        523
>R002879        528
>R002880        455
>R002881        437
>R002882        409
>R002883        461
>R002884        408
>R002885        528
>R002886        543
>R002887        514
>R002889        407
>R002890        464
>R002891        511
>R002892        434
>R002893        448
>R002894        512
>R002895        366
>R002896        419
>R002897        486
>R002898        459
>R002899        355
>R002900        473
>R002901        535
>R002902        506
>R002903        374
>R002904        459
>R002905        376
>R002906        476
>R002907        530
>R002908        492
>R002909        499
>R002910        469
>R002911        480
>R002912        149
>R002913        499
>R002914        320
>R002915        422
>R002916        470
>R002917        512
>R002918        411
>R002919        521
>R002920        514
>R002921        447
>R002922        443
>R002923        461
>R002924        447
>R002925        372
>R002926        525
>R002927        404
>R002928        89
>R002929        352
>R002930        523
>R002931        447
>R002932        524
>R002933        489
>R002934        553
>R002935        456
>R002936        367
>R002937        427
>R002938        451
>R002939        445
>R002940        487
>R002941        439
>R002942        493
>R002943        389
>R002944        393
>R002945        331
>R002946        514
>R002947        490
>R002948        366
>R002949        307
>R002950        468
>R002952        478
>R002953        429
>R002954        497
>R002955        531
>R002956        453
>R002957        488
>R002958        585
>R002959        421
>R002960        478
>R002961        534
>R002962        433
>R002963        417
>R002964        318
>R002965        465
>R002966        494
>R002967        491
>R002968        529
>R002969        462
>R002970        499
>R002971        452
>R002973        435
>R002974        456
>R002975        89
>R002976        477
>R002977        524
>R002978        519
>R002979        386
>R002980        407
>R002981        463
>R002982        489
>R002983        517
>R002984        420
>R002985        516
>R002986        225
>R002987        460
>R002988        458
>R002989        416
>R002990        330
>R002991        280
>R002992        509
>R002993        510
>R002994        425
>R002995        473
>R002996        571
>R002997        469
>R002998        491
>R002999        416
>R003000        370
>R003001        464
>R003002        467
>R003003        478
>R003004        345
>R003005        462
>R003006        326
>R003007        336
>R003008        415
>R003009        476
>R003010        437
>R003011        388
>R003012        413
>R003013        545
>R003014        362
>R003015        467
>R003016        462
>R003017        453
>R003018        494
>R003019        470
>R003020        371
>R003021        461
>R003022        440
>R003023        445
>R003024        492
>R003025        730
>R003026        463
>R003027        503
>R003028        435
>R003029        455
>R003030        511
>R003031        326
>R003032        451
>R003033        478
>R003034        384
>R003035        607
>R003036        489
>R003037        456
>R003038        406
>R003039        478
>R003040        515
>R003041        443
>R003042        464
>R003043        449
>R003044        444
>R003045        443
>R003046        460
>R003047        479
>R003048        441
>R003049        482
>R003050        568
>R003051        388
>R003052        439
>R003053        551
>R003054        402
>R003056        360
>R003057        373
>R003058        381
>R003059        467
>R003060        469
>R003061        480
>R003062        493
>R003063        349
>R003064        482
>R003065        418
>R003066        406
>R003067        467
>R003068        569
>R003069        633
>R003070        295
>R003071        422
>R003072        530
>R003073        628
>R003074        496
>R003075        489
>R003077        516
>R003078        460
>R003079        522
>R003080        457
>R003081        454
>R003082        519
>R003083        484
>R003084        476
>R003085        382
>R003086        540
>R003087        441
>R003088        517
>R003089        354
>R003090        471
>R003091        446
>R003092        475
>R003093        280
>R003094        496
>R003095        427
>R003096        456
>R003097        411
>R003098        409
>R003099        419
>R003100        535
>R003101        535
>R003102        477
>R003103        494
>R003104        457
>R003105        592
>R003106        415
>R003107        322
>R003108        411
>R003109        348
>R003110        467
>R003111        457
>R003112        495
>R003113        443
>R003114        376
>R003115        474
>R003116        530
>R003117        502
>R003118        331
>R003119        303
>R003120        526
>R003121        588
>R003122        540
>R003123        430
>R003124        588
>R003125        470
>R003126        537
>R003127        482
>R003128        387
>R003129        389
>R003130        421
>R003131        473
>R003132        443
>R003133        445
>R003134        487
>R003135        465
>R003136        469
>R003137        454
>R003138        439
>R003139        435
>R003140        450
>R003141        358
>R003142        407
>R003143        534
>R003144        476
>R003145        509
>R003146        420
>R003147        523
>R003148        454
>R003149        468
>R003150        529
>R003151        614
>R003152        403
>R003153        428
>R003154        448
>R003155        433
>R003156        455
>R003157        470
>R003158        244
>R003159        288
>R003160        340
>R003161        559
>R003162        357
>R003163        509
>R003164        506
>R003165        479
>R003166        442
>R003167        89
>R003168        407
>R003169        515
>R003170        384
>R003171        394
>R003172        417
>R003173        384
>R003174        488
>R003175        432
>R003176        481
>R003177        472
>R003178        396
>R003179        466
>R003180        463
>R003181        454
>R003182        421
>R003183        426
>R003184        376
>R003185        519
>R003186        441
>R003187        404
>R003188        513
>R003189        408
>R003190        481
>R003191        515
>R003192        454
>R003193        418
>R003194        437
>R003195        451
>R003196        476
>R003197        428
>R003198        438
>R003199        443
>R003200        470
>R003201        405
>R003202        443
>R003204        531
>R003205        404
>R003206        520
>R003207        508
>R003208        498
>R003209        489
>R003210        454
>R003211        542
>R003212        477
>R003213        497
>R003214        453
>R003215        300
>R003216        401
>R003217        452
>R003218        581
>R003219        458
>R003220        395
>R003221        441
>R003222        89
>R003223        536
>R003224        337
>R003225        382
>R003226        516
>R003227        522
>R003228        452
>R003229        563
>R003230        516
>R003231        511
>R003232        474
>R003233        449
>R003234        366
>R003235        452
>R003236        475
>R003237        431
>R003238        313
>R003239        465
>R003240        456
>R003241        483
>R003242        518
>R003243        463
>R003244        436
>R003245        414
>R003246        446
>R003247        467
>R003248        410
>R003249        525
>R003250        474
>R003251        412
>R003252        502
>R003253        459
>R003254        473
>R003255        591
>R003256        506
>R003257        412
>R003258        353
>R003259        455
>R003260        507
>R003261        434
>R003262        425
>R003263        494
>R003264        514
>R003265        499
>R003266        410
>R003267        359
>R003268        605
>R003269        441
>R003270        518
>R003271        364
>R003272        458
>R003273        498
>R003274        468
>R003275        429
>R003276        450
>R003277        334
>R003278        448
>R003279        549
>R003280        454
>R003281        431
>R003282        434
>R003283        500
>R003284        368
>R003285        472
>R003286        385
>R003287        495
>R003288        457
>R003289        403
>R003290        498
>R003291        455
>R003292        331
>R003293        423
>R003294        456
>R003295        405
>R003296        459
>R003297        400
>R003298        491
>R003299        446
>R003300        398
>R003301        445
>R003302        460
>R003303        492
>R003304        506
>R003305        508
>R003306        494
>R003307        584
>R003308        541
>R003309        524
>R003310        343
>R003311        511
>R003312        405
>R003313        468
>R003314        337
>R003315        504
>R003316        475
>R003317        467
>R003318        458
>R003319        466
>R003320        505
>R003321        452
>R003322        489
>R003323        551
>R003324        565
>R003325        560
>R003326        480
>R003327        469
>R003328        537
>R003329        451
>R003330        541
>R003331        487
>R003332        451
>R003333        407
>R003334        546
>R003335        490
>R003336        437
>R003337        412
>R003338        488
>R003339        410
>R003340        507
>R003341        428
>R003342        441
>R003343        453
>R003344        507
>R003345        564
>R003346        435
>R003347        496
>R003348        399
>R003349        456
>R003350        353
>R003351        555
>R003352        460
>R003353        428
>R003354        508
>R003355        503
>R003356        489
>R003357        446
>R003358        538
>R003359        460
>R003360        450
>R003361        463
>R003362        479
>R003363        438
>R003364        532
>R003365        427
>R003366        551
>R003367        466
>R003368        566
>R003369        452
>R003370        507
>R003371        498
>R003372        447
>R003373        471
>R003374        503
>R003375        511
>R003376        429
>R003377        504
>R003378        494
>R003379        476
>R003380        449
>R003382        421
>R003383        522
>R003384        474
>R003385        534
>R003386        416
>R003387        438
>R003388        378
>R003389        449
>R003390        498
>R003392        397
>R003393        512
>R003394        512
>R003395        399
>R003396        89
>R003397        492
>R003398        364
>R003399        490
>R003400        407
>R003401        410
>R003402        457
>R003403        306
>R003404        474
>R003405        489
>R003406        473
>R003407        527
>R003408        467
>R003409        514
>R003410        462
>R003411        472
>R003412        391
>R003413        400
>R003414        497
>R003415        476
>R003416        380
>R003417        484
>R003418        509
>R003419        443
>R003420        388
>R003421        475
>R003422        356
>R003423        437
>R003424        390
>R003425        495
>R003426        547
>R003427        358
>R003428        397
>R003429        478
>R003430        366
>R003431        490
>R003432        425
>R003433        430
>R003434        530
>R003435        347
>R003436        407
>R003437        461
>R003438        502
>R003439        510
>R003440        423
>R003441        315
>R003442        492
>R003443        427
>R003444        452
>R003445        411
>R003446        535
>R003447        453
>R003448        408
>R003449        509
>R003450        522
>R003451        462
>R003452        422
>R003453        459
>R003454        384
>R003455        428
>R003456        446
>R003457        457
>R003458        386
>R003459        396
>R003460        473
>R003461        565
>R003462        486
>R003463        549
>R003464        559
>R003465        494
>R003466        432
>R003467        487
>R003468        478
>R003469        370
>R003470        512
>R003471        425
>R003472        466
>R003473        523
>R003474        443
>R003475        463
>R003476        516
>R003477        557
>R003478        434
>R003479        418
>R003480        498
>R003481        485
>R003482        551
>R003483        347
>R003484        348
>R003485        560
>R003486        461
>R003487        427
>R003488        527
>R003489        599
>R003490        474
>R003491        523
>R003492        467
>R003493        497
>R003494        450
>R003495        489
>R003496        424
>R003497        421
>R003498        493
>R003499        436
>R003500        397
>R003501        491
>R003502        461
>R003503        334
>R003504        464
>R003505        490
>R003506        431
>R003507        409
>R003508        442
>R003509        384
>R003510        353
>R003511        392
>R003512        377
>R003513        432
>R003514        502
>R003515        495
>R003516        476
>R003517        542
>R003518        423
>R003519        466
>R003520        333
>R003521        511
>R003522        471
>R003523        556
>R003524        483
>R003525        403
>R003526        453
>R003527        506
>R003528        344
>R003529        464
>R003530        514
>R003531        463
>R003532        463
>R003533        466
>R003534        483
>R003535        433
>R003536        368
>R003537        440
>R003538        422
>R003539        443
>R003540        470
>R003541        500
>R003542        486
>R003543        390
>R003544        602
>R003545        490
>R003546        468
>R003547        549
>R003548        511
>R003549        415
>R003550        485
>R003551        491
>R003552        416
>R003553        374
>R003554        425
>R003555        470
>R003556        465
>R003557        590
>R003558        472
>R003559        392
>R003560        406
>R003561        562
>R003562        458
>R003563        490
>R003564        425
>R003565        351
>R003566        474
>R003567        499
>R003568        475
>R003569        478
>R003570        482
>R003571        494
>R003572        356
>R003573        379
>R003574        469
>R003575        476
>R003576        532
>R003577        552
>R003578        402
>R003579        504
>R003580        515
>R003581        480
>R003582        391
>R003583        436
>R003584        455
>R003585        505
>R003586        512
>R003587        443
>R003588        491
>R003589        399
>R003590        439
>R003591        519
>R003592        432
>R003593        470
>R003594        359
>R003595        417
>R003596        472
>R003597        471
>R003598        448
>R003599        446
>R003600        453
>R003601        424
>R003602        456
>R003603        513
>R003604        291
>R003605        422
>R003606        519
>R003607        460
>R003608        460
>R003609        454
>R003610        380
>R003611        492
>R003612        486
>R003613        485
>R003614        492
>R003615        358
>R003616        475
>R003617        372
>R003618        575
>R003619        434
>R003620        490
>R003621        560
>R003622        525
>R003623        434
>R003624        394
>R003625        440
>R003626        507
>R003627        442
>R003628        448
>R003629        403
>R003630        468
>R003631        476
>R003632        448
>R003633        401
>R003634        402
>R003635        450
>R003636        584
>R003637        474
>R003638        464
>R003639        537
>R003640        515
>R003641        466
>R003642        422
>R003643        465
>R003644        504
>R003645        401
>R003646        433
>R003647        543
>R003648        417
>R003649        470
>R003650        627
>R003651        467
>R003652        430
>R003653        486
>R003654        438
>R003655        544
>R003656        473
>R003657        445
>R003658        513
>R003659        453
>R003660        449
>R003661        450
>R003662        460
>R003663        157
>R003664        521
>R003665        466
>R003666        367
>R003667        473
>R003668        385
>R003669        480
>R003670        325
>R003671        477
>R003672        449
>R003673        488
>R003674        89
>R003675        450
>R003676        448
>R003677        396
>R003678        469
>R003679        480
>R003680        334
>R003681        517
>R003682        461
>R003683        544
>R003684        504
>R003685        497
>R003686        514
>R003687        413
>R003688        457
>R003689        553
>R003690        441
>R003691        453
>R003692        404
>R003693        453
>R003694        511
>R003695        442
>R003696        416
>R003697        469
>R003698        483
>R003699        472
>R003700        421
>R003701        454
>R003702        381
>R003703        532
>R003704        431
>R003705        503
>R003706        434
>R003707        471
>R003708        445
>R003709        432
>R003710        451
>R003711        509
>R003712        553
>R003713        503
>R003714        479
>R003715        451
>R003716        477
>R003717        452
>R003718        478
>R003720        429
>R003721        454
>R003722        476
>R003723        468
>R003724        464
>R003725        494
>R003726        441
>R003727        330
>R003728        508
>R003729        459
>R003730        501
>R003731        511
>R003732        510
>R003733        445
>R003734        509
>R003735        531
>R003736        561
>R003737        434
>R003738        477
>R003739        479
>R003740        484
>R003741        536
>R003742        423
>R003744        558
>R003745        472
>R003746        403
>R003747        330
>R003748        499
>R003749        460
>R003750        451
>R003751        455
>R003752        526
>R003753        559
>R003754        481
>R003755        421
>R003756        438
>R003757        457
>R003758        519
>R003759        396
>R003760        476
>R003761        458
>R003762        396
>R003763        459
>R003764        583
>R003765        508
>R003766        458
>R003767        384
>R003768        477
>R003769        457
>R003770        400
>R003771        396
>R003772        439
>R003773        458
>R003774        404
>R003775        420
>R003776        378
>R003777        373
>R003778        496
>R003779        469
>R003780        465
>R003781        518
>R003782        462
>R003783        425
>R003784        319
>R003785        475
>R003786        352
>R003787        543
>R003788        489
>R003789        264
>R003790        472
>R003791        487
>R003792        522
>R003793        439
>R003794        390
>R003795        338
>R003796        427
>R003797        471
>R003798        350
>R003799        488
>R003800        617
>R003801        443
>R003802        362
>R003803        461
>R003804        533
>R003805        376
>R003806        478
>R003807        561
>R003808        457
>R003809        464
>R003810        343
>R003811        504
>R003812        386
>R003813        498
>R003814        386
>R003815        414
>R003816        420
>R003817        436
>R003818        317
>R003819        463
>R003820        536
>R003821        484
>R003822        471
>R003823        415
>R003824        445
>R003825        424
>R003826        438
>R003827        460
>R003829        461
>R003830        502
>R003831        411
>R003832        434
>R003833        462
>R003834        560
>R003835        496
>R003836        443
>R003837        504
>R003838        396
>R003839        393
>R003840        396
>R003841        487
>R003842        553
>R003843        431
>R003844        498
>R003845        434
>R003846        375
>R003847        551
>R003848        427
>R003849        451
>R003850        447
>R003851        299
>R003852        455
>R003853        481
>R003854        448
>R003855        452
>R003856        448
>R003857        459
>R003858        438
>R003859        490
>R003860        479
>R003861        563
>R003862        501
>R003863        446
>R003864        426
>R003865        393
>R003866        480
>R003867        523
>R003868        424
>R003869        325
>R003870        476
>R003871        527
>R003872        343
>R003873        437
>R003874        454
>R003875        538
>R003876        530
>R003877        486
>R003878        439
>R003879        488
>R003880        528
>R003881        478
>R003882        471
>R003883        464
>R003884        448
>R003885        456
>R003886        513
>R003887        709
>R003888        492
>R003889        458
>R003890        608
>R003891        520
>R003892        518
>R003893        504
>R003894        428
>R003895        316
>R003896        353
>R003897        430
>R003898        500
>R003899        472
>R003900        431
>R003901        439
>R003902        481
>R003903        418
>R003904        499
>R003905        405
>R003906        452
>R003907        455
>R003908        416
>R003909        433
>R003910        549
>R003911        505
>R003912        435
>R003913        391
>R003914        469
>R003915        458
>R003916        481
>R003917        335
>R003918        414
>R003919        489
>R003920        399
>R003921        361
>R003922        482
>R003923        379
>R003924        357
>R003925        480
>R003926        517
>R003927        515
>R003928        474
>R003929        470
>R003930        624
>R003931        510
>R003932        506
>R003933        600
>R003934        488
>R003935        498
>R003936        401
>R003937        416
>R003938        466
>R003939        390
>R003940        500
>R003941        489
>R003942        272
>R003943        358
>R003944        340
>R003945        439
>R003946        517
>R003947        412
>R003948        89
>R003949        503
>R003950        498
>R003951        426
>R003952        410
>R003953        458
>R003954        424
>R003955        481
>R003956        501
>R003957        508
>R003958        437
>R003959        393
>R003960        488
>R003961        543
>R003962        500
>R003963        437
>R003964        420
>R003965        503
>R003966        479
>R003967        485
>R003968        492
>R003969        452
>R003970        474
>R003971        406
>R003972        500
>R003973        343
>R003974        241
>R003975        455
>R003976        481
>R003977        359
>R003978        445
>R003979        529
>R003980        412
>R003981        486
>R003982        348
>R003983        455
>R003984        501
>R003985        439
>R003986        443
>R003987        532
>R003988        466
>R003989        450
>R003990        434
>R003991        427
>R003992        405
>R003993        436
>R003994        461
>R003995        443
>R003996        397
>R003997        432
>R003998        457
>R003999        482
>R004000        465
>R004001        479
>R004002        509
>R004003        493
>R004004        473
>R004006        324
>R004007        590
>R004008        484
>R004009        417
>R004010        493
>R004011        486
>R004012        524
>R004013        420
>R004014        461
>R004015        490
>R004016        385
>R004017        394
>R004018        447
>R004019        396
>R004020        514
>R004021        411
>R004022        435
>R004023        371
>R004024        407
>R004025        448
>R004026        404
>R004027        511
>R004028        452
>R004029        402
>R004030        439
>R004031        411
>R004032        446
>R004033        510
>R004034        395
>R004035        435
>R004036        424
>R004037        507
>R004038        454
>R004039        593
>R004040        400
>R004041        314
>R004042        536
>R004043        409
>R004044        468
>R004045        357
>R004046        449
>R004047        593
>R004048        503
>R004049        454
>R004050        457
>R004051        435
>R004052        521
>R004053        453
>R004054        543
>R004055        462
>R004056        427
>R004057        508
>R004058        480
>R004059        422
>R004060        484
>R004061        458
>R004062        489
>R004063        472
>R004064        340
>R004065        360
>R004066        393
>R004067        412
>R004068        490
>R004069        466
>R004070        466
>R004071        496
>R004072        634
>R004073        472
>R004074        498
>R004075        416
>R004076        467
>R004077        547
>R004078        410
>R004079        509
>R004080        399
>R004081        519
>R004082        412
>R004083        455
>R004084        449
>R004085        401
>R004086        562
>R004087        543
>R004088        480
>R004089        387
>R004090        459
>R004091        493
>R004092        527
>R004093        514
>R004094        436
>R004095        389
>R004096        500
>R004097        326
>R004098        432
>R004099        470
>R004100        433
>R004101        507
>R004102        303
>R004103        401
>R004104        568
>R004105        481
>R004106        454
>R004107        446
>R004108        542
>R004109        89
>R004110        466
>R004111        494
>R004112        465
>R004113        399
>R004114        450
>R004115        538
>R004116        360
>R004117        460
>R004119        357
>R004120        425
>R004121        479
>R004122        380
>R004123        267
>R004124        530
>R004125        469
>R004126        496
>R004127        426
>R004128        542
>R004129        437
>R004130        442
>R004131        473
>R004132        495
>R004133        355
>R004134        460
>R004135        286
>R004136        450
>R004137        506
>R004138        440
>R004139        428
>R004140        470
>R004141        446
>R004142        461
>R004143        448
>R004144        502
>R004145        469
>R004146        507
>R004147        525
>R004148        526
>R004149        470
>R004150        478
>R004151        421
>R004152        327
>R004153        519
>R004154        447
>R004156        452
>R004157        524
>R004158        497
>R004159        485
>R004160        620
>R004161        420
>R004162        426
>R004163        449
>R004164        427
>R004165        339
>R004166        486
>R004167        498
>R004168        479
>R004169        312
>R004170        402
>R004171        436
>R004172        482
>R004173        549
>R004174        444
>R004175        493
>R004176        458
>R004177        503
>R004178        422
>R004179        637
>R004180        414
>R004181        454
>R004182        424
>R004183        404
>R004184        438
>R004185        550
>R004186        430
>R004187        455
>R004188        448
>R004189        552
>R004190        476
>R004191        517
>R004192        422
>R004193        468
>R004194        438
>R004195        469
>R004196        420
>R004197        448
>R004198        505
>R004199        502
>R004200        454
>R004201        525
>R004202        444
>R004203        484
>R004204        436
>R004205        425
>R004206        424
>R004207        421
>R004208        485
>R004209        430
>R004210        477
>R004211        477
>R004212        469
>R004213        332
>R004214        496
>R004215        511
>R004216        494
>R004217        427
>R004218        437
>R004219        396
>R004220        256
>R004221        409
>R004222        527
>R004223        451
>R004224        389
>R004225        447
>R004226        525
>R004227        476
>R004228        581
>R004229        414
>R004230        501
>R004231        478
>R004233        525
>R004234        466
>R004235        485
>R004236        417
>R004237        416
>R004238        484
>R004239        464
>R004240        404
>R004241        537
>R004242        580
>R004243        512
>R004244        469
>R004245        585
>R004246        405
>R004247        458
>R004248        510
>R004249        464
>R004250        501
>R004251        233
>R004252        574
>R004253        424
>R004254        380
>R004255        373
>R004256        527
>R004257        499
>R004258        475
>R004259        430
>R004260        462
>R004261        435
>R004262        543
>R004263        478
>R004264        493
>R004265        490
>R004266        418
>R004267        468
>R004268        387
>R004269        403
>R004270        402
>R004271        505
>R004272        510
>R004273        346
>R004274        450
>R004275        393
>R004276        518
>R004277        402
>R004278        445
>R004279        479
>R004280        414
>R004281        433
>R004282        407
>R004283        460
>R004284        471
>R004285        361
>R004286        476
>R004287        488
>R004288        433
>R004289        449
>R004290        441
>R004291        441
>R004292        446
>R004293        492
>R004294        492
>R004295        492
>R004296        566
>R004297        542
>R004298        542
>R004299        463
>R004300        444
>R004301        414
>R004302        400
>R004303        334
>R004304        569
>R004305        518
>R004306        474
>R004307        447
>R004308        435
>R004309        492
>R004310        591
>R004311        546
>R004312        531
>R004313        469
>R004314        510
>R004315        358
>R004316        499
>R004317        464
>R004318        458
>R004319        439
>R004320        440
>R004321        507
>R004322        433
>R004323        474
>R004324        439
>R004325        507
>R004326        422
>R004327        396
>R004328        608
>R004329        470
>R004330        467
>R004331        494
>R004332        429
>R004333        484
>R004334        445
>R004335        403
>R004336        386
>R004337        361
>R004338        479
>R004339        493
>R004340        447
>R004341        513
>R004342        445
>R004343        499
>R004344        499
>R004345        453
>R004346        453
>R004347        418
>R004348        472
>R004349        505
>R004350        455
>R004351        498
>R004352        574
>R004353        390
>R004354        358
>R004355        469
>R004356        427
>R004357        434
>R004358        401
>R004359        474
>R004360        430
>R004361        412
>R004362        458
>R004363        408
>R004364        459
>R004365        351
>R004366        443
>R004367        281
>R004368        471
>R004369        360
>R004370        481
>R004371        408
>R004372        365
>R004373        421
>R004374        388
>R004375        568
>R004376        341
>R004377        523
>R004378        366
>R004379        614
>R004380        485
>R004381        461
>R004382        481
>R004383        445
>R004384        395
>R004385        353
>R004386        433
>R004387        406
>R004388        514
>R004389        420
>R004390        519
>R004391        446
>R004392        439
>R004393        442
>R004394        284
>R004395        519
>R004396        441
>R004397        447
>R004398        428
>R004399        563
>R004400        464
>R004401        488
>R004402        452
>R004403        431
>R004404        453
>R004405        407
>R004406        466
>R004407        479
>R004408        459
>R004409        686
>R004410        418
>R004411        506
>R004412        458
>R004413        343
>R004414        527
>R004415        389
>R004416        477
>R004417        452
>R004418        460
>R004419        348
>R004420        466
>R004421        418
>R004422        507
>R004423        483
>R004424        456
>R004425        548
>R004426        471
>R004427        428
>R004428        387
>R004429        418
>R004430        477
>R004431        549
>R004432        433
>R004433        401
>R004434        504
>R004435        520
>R004436        495
>R004437        419
>R004438        366
>R004439        389
>R004440        470
>R004441        486
>R004442        467
>R004443        497
>R004444        462
>R004445        498
>R004446        387
>R004447        465
>R004448        425
>R004449        546
>R004450        498
>R004451        473
>R004452        434
>R004453        489
>R004454        522
>R004455        406
>R004457        463
>R004458        497
>R004459        377
>R004460        173
>R004461        465
>R004462        405
>R004463        541
>R004464        516
>R004465        535
>R004466        368
>R004467        432
>R004468        486
>R004469        454
>R004470        654
>R004471        469
>R004472        509
>R004473        434
>R004474        391
>R004475        459
>R004476        437
>R004477        428
>R004478        483
>R004479        436
>R004480        437
>R004481        502
>R004482        464
>R004483        501
>R004484        466
>R004485        461
>R004486        524
>R004487        421
>R004488        444
>R004489        429
>R004490        473
>R004491        489
>R004492        449
>R004493        478
>R004494        465
>R004495        544
>R004496        537
>R004497        421
>R004498        644
>R004499        436
>R004500        89
>R004501        513
>R004502        405
>R004503        375
>R004504        514
>R004505        488
>R004506        459
>R004507        316
>R004508        500
>R004509        347
>R004510        380
>R004511        462
>R004512        474
>R004513        477
>R004514        421
>R004515        432
>R004516        512
>R004517        573
>R004518        470
>R004519        457
>R004520        398
>R004521        409
>R004522        525
>R004523        532
>R004524        504
>R004525        472
>R004526        536
>R004527        574
>R004528        596
>R004529        588
>R004530        528
>R004531        418
>R004532        469
>R004533        437
>R004534        560
>R004535        487
>R004536        453
>R004537        402
>R004538        445
>R004539        462
>R004540        495
>R004541        458
>R004542        487
>R004543        490
>R004544        411
>R004545        465
>R004546        533
>R004547        494
>R004548        514
>R004549        510
>R004550        420
>R004551        602
>R004552        495
>R004553        490
>R004554        540
>R004555        500
>R004556        581
>R004557        454
>R004558        495
>R004559        602
>R004560        481
>R004561        533
>R004562        484
>R004563        491
>R004564        524
>R004565        478
>R004566        516
>R004567        445
>R004568        501
>R004569        463
>R004570        471
>R004571        395
>R004572        338
>R004573        419
>R004574        380
>R004575        463
>R004576        460
>R004577        499
>R004578        505
>R004579        474
>R004580        450
>R004581        451
>R004582        393
>R004583        471
>R004584        468
>R004585        461
>R004586        545
>R004587        448
>R004588        495
>R004589        500
>R004590        404
>R004591        548
>R004592        515
>R004593        441
>R004594        450
>R004595        491
>R004596        529
>R004597        468
>R004598        511
>R004599        368
>R004600        483
>R004601        461
>R004602        501
>R004603        408
>R004604        355
>R004605        583
>R004606        353
